Country,Region,Cluster,State,Branch Code,Branch Name,Sales Head,Employee ID,Employee Name,Designation,Month,Product Category,Product Subcategory,Product,Target Units,Actual Units,Target Sales Value (INR),Actual Sales Value (INR),Achievement %,Leads Generated,Conversions,Conversion Rate %,Customer Calls,Customer Meetings,Average Ticket Size (INR),Estimated Revenue (INR),Estimated Incentive (INR),Quality Score %,Attrition Flag,Variance to Target (INR),Sales per Call (INR),Sales per Meeting (INR),Lead-to-Conversion %,Target Status
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0002,Employee 002,Senior Sales Officer,Jun-2026,Insurance,Insurance,Life Insurance,7,5,"797,113.93","578,941.00",72.63,20,5,25.00,170,31,"115,788.20","104,209.38","5,836.44",97.83,Yes,"-218,172.93","3,405.54","18,675.52",0.25,Below Target
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0003,Employee 003,Sales Officer,Jan-2026,Cards,Cards,Debit Card,27,30,"312,713.96","349,325.61",111.71,180,44,24.44,137,25,"11,644.19","13,973.02",868.83,86.19,No,"36,611.65","2,549.82","13,973.02",0.24,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0003,Employee 003,Sales Officer,Feb-2026,Cards,Cards,Credit Card,18,24,"909,659.16","1,127,995.17",124.00,72,11,15.28,128,20,"46,999.80","135,359.42","11,065.47",78.19,No,"218,336.00","8,812.46","56,399.76",0.15,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0003,Employee 003,Sales Officer,Mar-2026,Investments,Investments,Mutual Fund,8,4,"1,624,157.87","1,032,505.88",63.57,24,5,20.83,173,15,"258,126.47","103,250.59","8,315.95",88.48,No,"-591,652.00","5,968.24","68,833.73",0.21,Below Target
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0003,Employee 003,Sales Officer,Apr-2026,CASA,Accounts,Current Account,13,15,"2,541,400.61","3,076,404.78",121.05,60,20,33.33,81,19,"205,093.65","307,640.48","28,925.92",79.38,No,"535,004.18","37,980.31","161,916.04",0.33,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0003,Employee 003,Sales Officer,May-2026,Insurance,Insurance,General Insurance,11,13,"498,103.78","606,440.20",121.75,39,10,25.64,144,22,"46,649.25","84,901.63","7,396.67",80.55,No,"108,336.42","4,211.39","27,565.46",0.26,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0003,Employee 003,Sales Officer,Jun-2026,Loans,Retail Lending,Personal Loan,11,12,"4,208,293.32","4,617,673.51",109.73,48,13,27.08,149,47,"384,806.13","507,944.09","20,868.64",86.85,No,"409,380.19","30,991.10","98,248.37",0.27,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0004,Employee 004,Sales Officer,Jan-2026,Insurance,Insurance,Life Insurance,7,8,"714,344.81","814,357.93",114.00,40,10,25.00,91,44,"101,794.74","146,584.43","14,421.07",90.89,No,"100,013.12","8,948.99","18,508.13",0.25,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0004,Employee 004,Sales Officer,Feb-2026,Cards,Cards,Credit Card,17,16,"939,177.91","936,707.98",99.74,48,7,14.58,130,33,"58,544.25","112,404.96","8,353.96",94.11,No,"-2,469.93","7,205.45","28,385.09",0.15,Below Target
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0004,Employee 004,Sales Officer,Mar-2026,CASA,Accounts,Savings Account,32,31,"1,338,057.85","1,400,283.50",104.65,93,31,33.33,115,45,"45,170.44","112,022.68","10,957.74",89.33,No,"62,225.65","12,176.38","31,117.41",0.33,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0004,Employee 004,Sales Officer,Apr-2026,Loans,Retail Lending,Auto Loan,5,4,"1,538,889.70","1,276,976.15",82.98,16,4,25.00,173,38,"319,244.04","114,927.85","6,037.75",82.31,No,"-261,913.55","7,381.37","33,604.64",0.25,Below Target
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0004,Employee 004,Sales Officer,May-2026,Cards,Cards,Debit Card,33,33,"375,280.70","395,744.28",105.45,165,46,27.88,108,43,"11,992.25","15,829.77",914.81,80.00,No,"20,463.58","3,664.30","9,203.36",0.28,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0004,Employee 004,Sales Officer,Jun-2026,CASA,Accounts,Current Account,13,14,"2,612,472.95","3,067,974.39",117.44,84,11,13.10,156,29,"219,141.03","306,797.44","19,185.57",100.00,No,"455,501.45","19,666.50","105,792.22",0.13,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0005,Employee 005,Relationship Manager,Jan-2026,Cards,Cards,Credit Card,20,15,"991,512.05","820,246.07",82.73,45,5,11.11,139,29,"54,683.07","98,429.53","6,064.38",84.81,No,"-171,265.97","5,901.05","28,284.35",0.11,Below Target
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0005,Employee 005,Relationship Manager,Feb-2026,CASA,Accounts,Savings Account,39,33,"1,184,615.46","1,094,379.33",92.38,198,47,23.74,116,49,"33,163.01","87,550.35","6,850.45",93.44,No,"-90,236.13","9,434.30","22,334.27",0.24,Below Target
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0005,Employee 005,Relationship Manager,Mar-2026,CASA,Accounts,Current Account,13,6,"2,328,124.19","1,135,398.73",48.77,30,5,16.67,159,37,"189,233.12","113,539.87","7,459.44",89.31,No,"-1,192,725.46","7,140.87","30,686.45",0.17,Below Target
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0005,Employee 005,Relationship Manager,Apr-2026,CASA,Accounts,Savings Account,32,29,"1,217,721.60","1,163,863.00",95.58,174,58,33.33,70,30,"40,133.21","93,109.04","6,610.91",85.78,No,"-53,858.60","16,626.61","38,795.43",0.33,Below Target
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0005,Employee 005,Relationship Manager,May-2026,Loans,Retail Lending,Auto Loan,5,3,"1,530,866.89","1,075,824.91",70.28,9,1,11.11,161,19,"358,608.30","96,824.24","4,419.97",100.00,No,"-455,041.98","6,682.14","56,622.36",0.11,Below Target
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0005,Employee 005,Relationship Manager,Jun-2026,Loans,Retail Lending,Home Loan,3,3,"8,409,918.22","10,175,690.84",121.00,12,3,25.00,138,48,"3,391,896.95","814,055.27","45,305.12",92.20,No,"1,765,772.62","73,736.89","211,993.56",0.25,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0006,Employee 006,Senior Sales Officer,Jan-2026,CASA,Accounts,Savings Account,36,53,"1,359,800.98","2,196,330.07",161.52,318,81,25.47,160,34,"41,440.19","175,706.41","13,095.13",90.90,No,"836,529.09","13,727.06","64,597.94",0.25,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0006,Employee 006,Senior Sales Officer,Feb-2026,Investments,Investments,Mutual Fund,8,8,"1,868,007.42","2,100,514.64",112.45,48,15,31.25,113,43,"262,564.33","210,051.46","9,276.23",86.10,No,"232,507.22","18,588.63","48,849.18",0.31,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0006,Employee 006,Senior Sales Officer,Mar-2026,CASA,Accounts,Current Account,11,11,"2,616,791.98","2,627,317.19",100.40,44,5,11.36,103,21,"238,847.02","262,731.72","12,372.01",84.99,No,"10,525.22","25,507.93","125,110.34",0.11,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0006,Employee 006,Senior Sales Officer,Apr-2026,Investments,Investments,Recurring Deposit,19,20,"654,227.26","667,411.78",102.02,60,15,25.00,168,49,"33,370.59","40,044.71","2,593.18",92.07,No,"13,184.52","3,972.69","13,620.65",0.25,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0006,Employee 006,Senior Sales Officer,May-2026,Cards,Cards,Debit Card,30,37,"322,552.67","421,341.80",130.63,185,54,29.19,174,44,"11,387.62","16,853.67","1,586.83",89.60,No,"98,789.13","2,421.50","9,575.95",0.29,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0006,Employee 006,Senior Sales Officer,Jun-2026,Insurance,Insurance,General Insurance,9,10,"383,963.08","485,861.97",126.54,60,12,20.00,97,28,"48,586.20","68,020.68","5,482.89",85.83,No,"101,898.89","5,008.89","17,352.21",0.20,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0007,Employee 007,Sales Officer,Jan-2026,Loans,Retail Lending,Auto Loan,6,6,"1,462,109.39","1,672,975.20",114.42,36,10,27.78,178,28,"278,829.20","150,567.77","10,987.19",82.37,No,"210,865.81","9,398.74","59,749.11",0.28,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0007,Employee 007,Sales Officer,Feb-2026,Cards,Cards,Debit Card,34,49,"369,743.15","573,607.11",155.14,147,21,14.29,76,27,"11,706.27","22,944.28","1,224.18",90.83,No,"203,863.96","7,547.46","21,244.71",0.14,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0007,Employee 007,Sales Officer,Mar-2026,Investments,Investments,Recurring Deposit,15,13,"802,194.31","689,931.83",86.01,39,12,30.77,86,21,"53,071.68","41,395.91","4,104.82",89.62,No,"-112,262.48","8,022.46","32,853.90",0.31,Below Target
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0007,Employee 007,Sales Officer,Apr-2026,Cards,Cards,Credit Card,17,16,"955,372.78","870,189.15",91.08,80,11,13.75,136,27,"54,386.82","104,422.70","6,715.65",100.00,No,"-85,183.63","6,398.45","32,229.23",0.14,Below Target
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0007,Employee 007,Sales Officer,May-2026,Loans,Retail Lending,Home Loan,4,5,"9,678,540.00","12,435,044.64",128.48,15,2,13.33,102,20,"2,487,008.93","994,803.57","87,668.61",93.40,Yes,"2,756,504.65","121,912.20","621,752.23",0.13,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0007,Employee 007,Sales Officer,Jun-2026,Loans,Retail Lending,Auto Loan,6,5,"1,396,208.58","1,248,252.86",89.40,15,4,26.67,100,15,"249,650.57","112,342.76","8,723.81",90.00,No,"-147,955.72","12,482.53","83,216.86",0.27,Below Target
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0008,Employee 008,Senior Sales Officer,Jan-2026,Insurance,Insurance,General Insurance,8,7,"427,814.11","385,238.75",90.05,42,9,21.43,127,42,"55,034.11","53,933.42","2,408.89",83.80,Yes,"-42,575.36","3,033.38","9,172.35",0.21,Below Target
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0008,Employee 008,Senior Sales Officer,Feb-2026,Investments,Investments,Recurring Deposit,16,17,"765,896.95","862,049.10",112.55,51,7,13.73,104,20,"50,708.77","51,722.95","5,016.50",100.00,No,"96,152.14","8,288.93","43,102.45",0.14,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0008,Employee 008,Senior Sales Officer,Mar-2026,Insurance,Insurance,General Insurance,11,12,"388,604.52","413,378.53",106.38,36,10,27.78,87,46,"34,448.21","57,872.99","5,736.21",87.07,No,"24,774.01","4,751.48","8,986.49",0.28,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0008,Employee 008,Senior Sales Officer,Apr-2026,Investments,Investments,Fixed Deposit,16,17,"3,304,495.83","3,563,685.69",107.84,85,12,14.12,90,20,"209,628.57","249,458.00","20,331.54",87.40,No,"259,189.85","39,596.51","178,184.28",0.14,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0008,Employee 008,Senior Sales Officer,May-2026,Loans,Retail Lending,Auto Loan,6,6,"1,813,487.55","1,942,847.38",107.13,18,3,16.67,142,15,"323,807.90","174,856.26","17,003.56",88.33,No,"129,359.83","13,682.02","129,523.16",0.17,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0008,Employee 008,Senior Sales Officer,Jun-2026,CASA,Accounts,Savings Account,33,41,"1,060,880.73","1,388,187.43",130.85,164,37,22.56,72,26,"33,858.23","111,054.99","9,882.02",98.79,Yes,"327,306.70","19,280.38","53,391.82",0.23,Achieved
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0009,Employee 009,Sales Officer,Jan-2026,Investments,Investments,Recurring Deposit,15,11,"753,578.82","574,851.03",76.28,44,13,29.55,172,48,"52,259.18","34,491.06","2,105.17",86.12,No,"-178,727.79","3,342.16","11,976.06",0.30,Below Target
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0009,Employee 009,Sales Officer,Feb-2026,Investments,Investments,Recurring Deposit,18,19,"689,691.19","793,178.26",115.00,76,19,25.00,120,31,"41,746.22","47,590.70","4,614.93",84.82,No,"103,487.07","6,609.82","25,586.40",0.25,Achieved
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0009,Employee 009,Sales Officer,Mar-2026,Insurance,Insurance,Life Insurance,6,6,"604,630.87","690,566.08",114.21,24,4,16.67,176,25,"115,094.35","124,301.89","5,537.87",92.10,No,"85,935.21","3,923.67","27,622.64",0.17,Achieved
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0009,Employee 009,Sales Officer,Apr-2026,Cards,Cards,Debit Card,31,17,"316,407.06","183,812.22",58.09,51,16,31.37,136,41,"10,812.48","7,352.49",588.59,98.50,No,"-132,594.84","1,351.56","4,483.22",0.31,Below Target
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0009,Employee 009,Sales Officer,May-2026,Investments,Investments,Fixed Deposit,14,16,"2,862,857.29","2,994,447.63",104.60,64,9,14.06,174,26,"187,152.98","209,611.33","10,979.45",84.30,No,"131,590.34","17,209.47","115,171.06",0.14,Achieved
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0009,Employee 009,Sales Officer,Jun-2026,Investments,Investments,Fixed Deposit,16,15,"3,115,110.35","2,781,782.33",89.30,60,9,15.00,117,31,"185,452.16","194,724.76","11,023.89",88.29,No,"-333,328.02","23,775.92","89,734.91",0.15,Below Target
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0010,Employee 010,Relationship Manager,Jan-2026,Loans,Retail Lending,Home Loan,3,2,"8,801,549.67","7,398,140.94",84.05,12,3,25.00,95,28,"3,699,070.47","591,851.28","28,920.43",79.40,No,"-1,403,408.72","77,875.17","264,219.32",0.25,Below Target
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0010,Employee 010,Relationship Manager,Feb-2026,Loans,Retail Lending,Personal Loan,10,10,"3,969,682.22","3,956,035.87",99.66,50,10,20.00,133,39,"395,603.59","435,163.95","36,660.09",94.78,No,"-13,646.34","29,744.63","101,436.82",0.20,Below Target
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0010,Employee 010,Relationship Manager,Mar-2026,Cards,Cards,Debit Card,28,20,"310,075.02","245,600.26",79.21,120,27,22.50,79,17,"12,280.01","9,824.01",775.40,83.42,No,"-64,474.77","3,108.86","14,447.07",0.22,Below Target
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0010,Employee 010,Relationship Manager,Apr-2026,Loans,Retail Lending,Home Loan,4,6,"8,325,731.84","12,279,505.83",147.49,18,3,16.67,121,40,"2,046,584.31","982,360.47","75,104.71",95.10,No,"3,953,773.99","101,483.52","306,987.65",0.17,Achieved
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0010,Employee 010,Relationship Manager,May-2026,Investments,Investments,Recurring Deposit,16,16,"616,374.32","577,551.32",93.70,80,18,22.50,163,25,"36,096.96","34,653.08","1,568.86",88.89,No,"-38,823.00","3,543.26","23,102.05",0.22,Below Target
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0010,Employee 010,Relationship Manager,Jun-2026,Insurance,Insurance,Life Insurance,8,2,"618,528.17","226,791.63",36.67,12,3,25.00,148,20,"113,395.82","40,822.49","4,021.18",92.79,No,"-391,736.54","1,532.38","11,339.58",0.25,Below Target
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0011,Employee 011,Relationship Manager,Jan-2026,Insurance,Insurance,General Insurance,9,9,"495,708.65","499,819.78",100.83,36,7,19.44,88,34,"55,535.53","69,974.77","4,930.19",100.00,No,"4,111.14","5,679.77","14,700.58",0.19,Achieved
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0011,Employee 011,Relationship Manager,Feb-2026,CASA,Accounts,Savings Account,35,21,"1,075,570.58","663,189.06",61.66,105,26,24.76,75,24,"31,580.43","53,055.12","3,868.58",93.58,No,"-412,381.52","8,842.52","27,632.88",0.25,Below Target
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0011,Employee 011,Relationship Manager,Mar-2026,CASA,Accounts,Current Account,11,13,"2,636,127.04","3,471,020.23",131.67,65,14,21.54,107,49,"267,001.56","347,102.02","21,149.65",83.96,Yes,"834,893.19","32,439.44","70,837.15",0.22,Achieved
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0011,Employee 011,Relationship Manager,Apr-2026,Investments,Investments,Mutual Fund,7,7,"1,565,907.98","1,711,071.90",109.27,28,3,10.71,162,22,"244,438.84","171,107.19","15,344.29",88.63,No,"145,163.92","10,562.17","77,776.00",0.11,Achieved
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0011,Employee 011,Relationship Manager,May-2026,Investments,Investments,Mutual Fund,8,7,"1,889,206.50","1,746,809.76",92.46,42,8,19.05,111,39,"249,544.25","174,680.98","14,145.48",85.77,No,"-142,396.74","15,737.02","44,789.99",0.19,Below Target
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0011,Employee 011,Relationship Manager,Jun-2026,Insurance,Insurance,Life Insurance,6,4,"751,997.97","625,172.62",83.13,12,2,16.67,135,28,"156,293.16","112,531.07","4,951.05",72.39,No,"-126,825.35","4,630.91","22,327.59",0.17,Below Target
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0012,Employee 012,Sales Officer,Jan-2026,Cards,Cards,Credit Card,17,17,"802,603.46","884,896.16",110.25,51,11,21.57,163,41,"52,052.72","106,187.54","9,271.85",91.98,No,"82,292.70","5,428.81","21,582.83",0.22,Achieved
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0012,Employee 012,Sales Officer,Feb-2026,CASA,Accounts,Savings Account,31,38,"1,093,636.05","1,417,040.86",129.57,114,36,31.58,166,27,"37,290.55","113,363.27","5,287.03",93.05,No,"323,404.81","8,536.39","52,482.99",0.32,Achieved
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0012,Employee 012,Sales Officer,Mar-2026,Insurance,Insurance,Life Insurance,7,7,"697,135.07","693,878.70",99.53,21,5,23.81,164,40,"99,125.53","124,898.17","6,882.88",100.00,No,"-3,256.37","4,230.97","17,346.97",0.24,Below Target
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0012,Employee 012,Sales Officer,Apr-2026,Investments,Investments,Recurring Deposit,16,15,"683,955.34","636,612.02",93.08,75,11,14.67,82,32,"42,440.80","38,196.72","2,929.20",90.28,No,"-47,343.32","7,763.56","19,894.13",0.15,Below Target
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0012,Employee 012,Sales Officer,May-2026,Investments,Investments,Mutual Fund,9,7,"1,956,645.70","1,382,572.79",70.66,35,5,14.29,161,45,"197,510.40","138,257.28","10,563.26",89.43,No,"-574,072.91","8,587.41","30,723.84",0.14,Below Target
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0012,Employee 012,Sales Officer,Jun-2026,Insurance,Insurance,Life Insurance,6,5,"634,127.38","621,206.02",97.96,15,4,26.67,124,29,"124,241.20","111,817.08","7,149.60",84.71,No,"-12,921.37","5,009.73","21,420.90",0.27,Below Target
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0013,Employee 013,Sales Officer,Jan-2026,Loans,Retail Lending,Home Loan,3,3,"8,281,986.69","9,939,814.28",120.02,12,2,16.67,151,41,"3,313,271.43","795,185.14","66,994.41",97.23,No,"1,657,827.59","65,826.58","242,434.49",0.17,Achieved
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0013,Employee 013,Sales Officer,Feb-2026,Investments,Investments,Recurring Deposit,16,17,"602,114.62","647,737.07",107.58,51,12,23.53,91,40,"38,102.18","38,864.22","1,585.10",77.29,No,"45,622.45","7,117.99","16,193.43",0.24,Achieved
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0013,Employee 013,Sales Officer,Mar-2026,Cards,Cards,Debit Card,30,29,"387,866.36","386,970.40",99.77,174,40,22.99,70,46,"13,343.81","15,478.82",681.45,91.01,No,-895.96,"5,528.15","8,412.40",0.23,Below Target
India,North,Delhi NCR Cluster,Uttar Pradesh,UP001,Noida Sector 18,Priya Verma,EMP0013,Employee 013,Sales Officer,Apr-2026,Investments,Investments,Recurring Deposit,17,14,"726,244.96","608,028.16",83.72,84,20,23.81,87,15,"43,430.58","36,481.69","3,156.82",95.90,No,"-118,216.80","6,988.83","40,535.21",0.24,Below Target
